price,developer,id,release_date_anio
12.99,Relic Entertainment,4580,2006
9.99,The Creative Assembly,4760,2004
4.99,The Creative Assembly,4770,2006
6.99,Big Fish Games,50970,2007
9.99,Rockstar North,12130,2004
9.99,Rockstar San Diego,12160,2003
9.99,Remedy Entertainment,12150,2003
6.99,Crystal Dynamics,7000,2006
6.99,Crystal Dynamics,7000,2006
9.99,Remedy Entertainment,12140,2001
19.99,EA Los Angeles,17480,2008
9.99,Infinite Interactive,12500,2007
9.99,Momentum Digital Media Technologies,12310,2007
9.99,Momentum Digital Media Technologies,12310,2007
9.99,Momentum Digital Media Technologies,12310,2007
9.99,"Gamebryo,Virtual Playground",12510,2007
9.99,SCS Software,12530,2007
9.99,SCS Software,12530,2007
9.99,SCS Software,12530,2007
9.99,SCS Software,12520,2007
5.99,Pivotal Games,8100,2008
7.99,Bohemia Interactive,2780,2007
9.99,,9730,2006
9.99,Spellbound,9710,2006
4.99,Haggard Games,9800,2007
4.99,Haggard Games,9800,2007
2.99,Eugen Systems,9760,2006
19.99,"Frontier,Aspyr (Mac)",2700,2006
19.99,"Frontier,Aspyr (Mac)",2700,2006
2.99,Eugen Systems,2710,2005
14.99,"Epic Games, Inc.",13200,2003
9.99,"Epic Games, Inc.",13250,1998
4.99,Sanzaru Games,13000,2008
4.99,Sanzaru Games,13000,2008
9.99,Ubisoft,13560,2003
9.99,Crytek Studios,13520,2004
9.99,"Epic Games, Inc.",13240,2000
9.99,Ubisoft Montreal,13540,2006
9.99,Ubisoft,15210,2005
9.99,Last Day of Work,16180,2008
9.99,Last Day of Work,16180,2008
4.99,SpinTop Games,3520,2008
9.99,MumboJumbo,15970,2008
9.99,MumboJumbo,15950,2008
9.99,MumboJumbo,15960,2008
9.99,MumboJumbo,15900,2008
9.99,MumboJumbo,15910,2005
9.99,MumboJumbo,15930,2007
9.99,Ubisoft,15160,2007
9.99,MumboJumbo,15920,2005
9.99,"Ubisoft Bulgaria,Ubisoft Montpellier",15080,2007
9.99,"Ubisoft Bulgaria,Ubisoft Montpellier",15080,2007
9.99,Ubisoft Romania,15200,2007
9.99,1C: Maddox Games,15320,2006
9.99,Ubisoft Romania,15240,2008
9.99,Telltale Games,8310,2005
9.99,"Merscom,Babylon",12600,2005
9.99,Telltale Games,8320,2006
9.99,BigAnt Studios,12590,2008
9.99,Gabriel Entertainment,12560,2007
9.99,Zemnott,12540,2007
9.99,Frogwares,11050,2008
9.99,Frogwares,11040,2008
9.99,Frogwares,11040,2008
4.99,"Luc Bernard,SilverSphereStudios",19500,2008
4.99,"Luc Bernard,SilverSphereStudios",19500,2008
7.99,Lesta Studio,11260,2007
7.99,Lesta Studio,11260,2007
4.99,Dialogue Design,19200,2008
4.99,Dialogue Design,19200,2008
19.99,Bugbear Entertainment,12360,2008
2.99,Oddworld Inhabitants,15710,1998
2.99,Oddworld Inhabitants,15700,1997
7.99,SimBin,8660,2008
4.99,"MicroProse Software, Inc",7770,2001
4.99,"MicroProse Software, Inc",7660,1997
4.99,"MicroProse Software, Inc",7760,1993
9.99,GSC Game World,20510,2008
9.99,GSC Game World,20510,2008
19.99,Crytek,17330,2008
19.99,Crytek,17300,2007
4.99,"MicroProse Software, Inc",7730,1998
9.99,CD PROJEKT RED,20900,2008
9.99,CD PROJEKT RED,20900,2008
9.99,Introversion Software,1530,2008
2.99,SimBin,8690,2008
2.49,"Tilted Mill Entertainment, Inc.",17120,2008
2.49,"Tilted Mill Entertainment, Inc.",17120,2008
19.99,Firaxis Games,16810,2008
9.99,"Red Storm Entertainment,Ubisoft Montreal",19830,2003
19.99,Traveller's Tales,21000,2008
19.99,Traveller's Tales,21000,2008
9.99,Monte Cristo,4460,2008
9.99,Monte Cristo,4460,2008
9.99,"Tilted Mill Entertainment, Inc.",17140,2008
9.99,"Tilted Mill Entertainment, Inc.",17140,2008
9.99,Gearbox Software,15390,2008
4.99,Dark Castle Software,21300,2008
4.99,Dark Castle Software,21300,2008
4.99,Techland,3050,2006
9.99,Nival,15380,2006
9.99,Gearbox Software,19800,2005
9.99,Nival,15370,2007
19.99,Blue Byte,19930,2008
9.99,Ubisoft,15350,2007
9.99,Red Storm Entertainment,19810,2002
4.99,"PopCap Games, Inc.",3540,2008
9.99,2D BOY,22000,2008
15.99,Egosoft,2820,2008
15.99,Egosoft,2820,2008
15.99,Egosoft,2820,2008
0.0,Sandstorm Productions,1230,2008
4.99,Shorebound Studios,18300,2008
4.99,Shorebound Studios,18300,2008
19.99,Perpetual FX Creative,20200,2008
19.99,Perpetual FX Creative,20200,2008
19.99,Perpetual FX Creative,20200,2008
14.99,Rockstar New England,12200,2008
14.99,Rockstar New England,12200,2008
9.99,Ubisoft Montreal,19900,2008
4.99,Meridian4,11240,2008
4.99,Meridian4,11240,2008
4.99,Meridian4,11240,2008
4.99,RailSimulator.com,256522,2009
4.99,RailSimulator.com,275144,2009
4.99,RailSimulator.com,256521,2009
4.99,Reppo,222569,2009
4.99,RailSimulator.com,256535,2009
4.99,Dovetail Games,256611,2009
4.99,Dovetail Games,256576,2009
9.99,Volition,9480,2009
19.99,EA Redwood Shores,17470,2008
9.99,Liquid Entertainment,12770,2008
19.99,DICE,17410,2009
19.99,DICE,17410,2009
9.99,Hidden Path Entertainment,18500,2008
9.99,Hidden Path Entertainment,18500,2008
14.99,Monolith,16450,2009
7.99,Oxeye Game Studio,15400,2008
7.99,Oxeye Game Studio,15400,2008
9.99,Inventive Dingo,18600,2007
9.99,Inventive Dingo,18600,2007
4.99,Meridian4,11340,2009
4.99,Meridian4,11340,2009
9.99,Black Sea Studios Ltd,25830,2005
5.99,Realmforge Studios,23460,2009
5.99,Realmforge Studios,23460,2009
5.99,Realmforge Studios,23460,2009
2.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",10600,2009
4.99,Deadline Games,21010,2009
9.99,Frictional Games,22180,2007
9.99,Frictional Games,22180,2007
9.99,Frictional Games,22180,2007
19.99,"Epic Games, Inc.",13210,2007
9.99,Radon Labs,12640,2009
4.99,Tale of Tales,27020,2008
4.99,Tale of Tales,27020,2008
19.99,Criterion Games,24740,2009
9.99,Twisted Pixel Games,26000,2009
9.99,Twisted Pixel Games,26000,2009
1.25,Twisted Pixel Games,26006,2009
1.25,Twisted Pixel Games,26006,2009
1.25,Twisted Pixel Games,26005,2009
1.25,Twisted Pixel Games,26005,2009
4.99,IonFX,11330,2009
4.99,IonFX,11330,2009
9.99,Llamasoft LTD,27800,2009
14.99,"InnoGlow,Stormregion,THQ Nordic",9850,2009
14.99,"InnoGlow,Stormregion,THQ Nordic",9850,2009
4.99,SpinTop Games,3600,2009
19.99,ArenaNet®,29580,2006
19.99,ArenaNet®,29580,2006
19.99,ArenaNet®,29540,2005
19.99,ArenaNet®,29540,2005
19.99,ArenaNet®,29560,2006
19.99,ArenaNet®,29560,2006
29.99,ArenaNet®,29570,2008
29.99,ArenaNet®,29570,2008
14.99,Infinite Interactive,23700,2009
9.99,MumboJumbo,16060,2009
9.99,Reality Pump Studios,1930,2009
9.99,Spellbound,18470,2009
9.99,Gaijin Entertainment,7510,2009
9.99,Gaijin Entertainment,7510,2009
9.99,Gaijin Entertainment,7510,2009
9.99,ACE Team,22200,2009
9.99,ACE Team,22200,2009
1.25,Twisted Pixel Games,26007,2009
6.99,1C Company,25900,2008
6.99,1C Company,25900,2008
9.99,Last Day of Work,16200,2009
9.99,Last Day of Work,16200,2009
2.99,Sky Fallen,7840,2009
4.99,Irrational Games,8890,2005
4.99,Irrational Games,8890,2005
4.99,Irrational Games,8880,2002
4.99,Irrational Games,8880,2002
14.99,SaintXi,34500,2009
14.99,SaintXi,34500,2009
14.99,SaintXi,34500,2009
0.0,Darklight Games,1280,2009
0.0,Darklight Games,1280,2009
19.99,Radical Entertainment,10150,2009
19.99,Radical Entertainment,10150,2009
4.99,Erik Svedäng,29160,2009
4.99,Erik Svedäng,29160,2009
4.99,Ascaron Entertainment ltd.,12470,2004
14.99,Bethesda Game Studios,22330,2007
14.99,Bethesda Game Studios,22320,2002
4.99,Deck 13,12440,2007
9.99,NovaLogic,32710,1999
9.99,NovaLogic,32740,1998
4.99,Mascot Entertainment,12460,2008
9.99,Techland,21980,2009
6.99,HeR Interactive,31860,2007
6.99,HeR Interactive,31900,2006
6.99,HeR Interactive,31920,2008
6.99,HeR Interactive,31930,2007
0.0,Digital Eel,35800,2008
0.0,Digital Eel,35800,2008
9.99,,12690,2009
9.99,,12690,2009
19.99,Telltale Games,31170,2009
19.99,Capcom,21660,2009
9.99,Frontier,6080,2007
9.99,Frontier,6080,2007
9.99,Frontier,6080,2007
9.99,Frontier,6080,2007
9.99,Frontier,6080,2007
5.99,LucasArts,6010,1992
5.99,Planet Moon Studios,6090,2003
9.99,Pandemic Studios,6060,2005
5.99,LucasArts,32310,1989
19.99,Traveller's Tales,32330,2008
19.99,Traveller's Tales,32330,2008
9.99,LucasArts,32360,2009
12.99,GFI Russia,35300,2008
9.99,Targem Games,35310,2009
9.99,Targem Games,35310,2009
6.99,HeR Interactive,31980,2009
9.99,Wanako Games,10140,2006
19.99,Sierra,10100,2006
19.99,Saber Interactive,10130,2007
19.99,Sierra,10110,2006
7.99,Tripwire Interactive,1256,2009
9.99,Artech Studios,10120,2008
9.99,Artech Studios,10120,2008
6.99,"PopTop Software,BreakAway Games,Frog City Software",33520,2009
6.99,"PopTop Software,BreakAway Games,Frog City Software",33520,2009
4.99,SpinTop Games,3610,2009
9.99,Capcom,21680,2008
9.99,Capcom,21670,2009
9.99,Capcom,21670,2009
4.99,Deadline Games,21030,2009
4.99,Sakari Indie,36000,2009
4.99,Sakari Indie,36000,2009
9.99,"BioWare,Aspyr (Mac)",32370,2003
9.99,"BioWare,Aspyr (Mac)",32370,2003
9.99,Hemisphere Games,29180,2009
9.99,Hemisphere Games,29180,2009
9.99,Black Isle Studios,38410,1998
9.99,14° East,38420,2001
9.99,Xatrix Entertainment,38430,1999
19.99,Telltale Games,31180,2009
19.99,iWin,37960,2009
9.99,iWin,38000,2009
4.99,Size Five Games,37400,2009
4.99,Size Five Games,37400,2009
9.99,Ubisoft Montreal,13570,2005
9.99,,11390,2009
9.99,,11390,2009
4.99,Unicorn Games Studio,34420,2009
14.99,Blue Fang,43100,2009
9.99,,33730,2009
9.99,IO Interactive,35000,2009
9.99,IO Interactive,35000,2009
19.99,"Freeze Tag Inc.,iQ212",39392,2009
19.99,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",39391,1999
2.99,"Vectorpark, Inc.",37600,2009
2.99,"Vectorpark, Inc.",37600,2009
2.99,"Vectorpark, Inc.",37600,2009
24.99,All Aboard,24029,2009
9.99,MumboJumbo,32140,2009
9.99,MumboJumbo,32140,2009
19.99,Telltale Games,31190,2009
19.99,NovaLogic,32770,2009
17.99,Dovetail Games,208306,2009
9.99,PlayFirst,37300,2009
19.99,Dovetail Games,208300,2009
9.99,Piranha Bytes,40300,2009
3.99,Honeyslug,35070,2009
9.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",10606,2009
9.99,Amanita Design,40700,2009
9.99,Amanita Design,40700,2009
9.99,EA Los Angeles,24840,2007
19.99,Slightly Mad Studios,24870,2009
14.99,Runic Games,41500,2009
19.99,EA Los Angeles,24800,2009
19.99,FireFly Studios,901735,2009
4.99,Nitro Games,42800,2009
9.99,Homegrown Games,39560,2009
14.99,"Phenomic,THQ Nordic",39550,2009
14.99,"Phenomic,THQ Nordic",39550,2009
9.99,Animation Arts,40330,2009
4.99,Stormregion,40320,2009
19.99,Telltale Games,31200,2009
4.99,1C Company,3130,2009
4.99,Konstantin Koshutin,41100,2009
4.99,Konstantin Koshutin,41100,2009
9.99,Phenomic,39540,2009
9.99,Phenomic,39540,2009
9.99,Wargaming.net,34640,2005
9.99,Wargaming.net,34630,2003
14.99,Croteam,41000,2009
14.99,Croteam,41000,2009
9.99,Animation Arts,40340,2009
19.99,BioWare,17450,2009
4.99,Citeremis Inc.,37100,2009
4.99,Citeremis Inc.,37100,2009
4.99,Citeremis Inc.,37100,2009
1.99,Yullaby,37500,2009
1.99,Yullaby,37500,2009
9.99,Crystal Empire Games,42810,2009
19.99,"Infinity Ward,Aspyr (Mac)",10180,2009
19.99,"Traveller's Tales,Feral Interactive (Mac)",32440,2009
4.99,"Triumph Studios,Virtual Programming",11450,2007
9.99,"Triumph Studios,Virtual Programming",12710,2008
14.99,EA Los Angeles,24790,2007
4.99,KranX Productions,29120,2008
4.99,KranX Productions,29120,2008
19.99,EA Los Angeles,24810,2009
14.99,Positech Games,41800,2009
14.99,Positech Games,41800,2009
14.99,Positech Games,41800,2009
9.99,Gaijin Entertainment,45300,2009
9.99,inXile Entertainment,41900,2005
9.99,inXile Entertainment,41900,2005
9.99,inXile Entertainment,41900,2005
0.0,Defence Alliance Team,35420,2009
19.99,"LucasArts,Aspyr Studios",32430,2009
19.99,Bethesda Game Studios,22370,2009
5.99,Positech Games,41802,2009
5.99,Positech Games,41802,2009
5.99,Positech Games,41802,2009
9.99,Hip Soft,38080,2007
9.99,Hip Soft,38090,2008
9.99,Hip Soft,38100,2009
9.99,iWin,38070,2009
9.99,iWin,38070,2009
1.99,Spidermonk Entertainment,38210,2009
19.99,Capcom,45700,2008
19.99,Capcom,45700,2008
9.99,ClockStone Studios,46410,2010
9.99,ClockStone Studios,46410,2010
9.99,ClockStone Studios,46410,2010
9.99,Hip Soft,38110,2009
0.0,Octoshark Studios,17570,2010
0.0,Octoshark Studios,17570,2010
0.0,Octoshark Studios,17570,2010
4.99,Alawar,38130,2008
9.99,Alawar,38160,2010
9.99,Alawar,38150,2009
4.99,Alawar,38120,2007
4.99,Alawar,38140,2009
6.99,Sandlot Games,36300,2010
6.99,Sandlot Games,36310,2010
6.99,Sandlot Games,36310,2010
6.99,Cateia Games,36320,2010
6.99,Cateia Games,36320,2010
9.99,Chaos Concept,37030,2010
19.99,Traveller's Tales,32450,2010
4.99,New Star Games Ltd,44100,2010
4.99,New Star Games Ltd,44100,2010
4.99,New Star Games Ltd,44100,2010
0.99,Paradox Interactive,25960,2010
6.99,The Farm 51,46250,2010
9.99,Awem Studio,38180,2007
7.49,Rebellion,10695,2010
9.99,Croteam,41050,2001
9.99,Croteam,41050,2001
19.99,All Aboard,24055,2010
19.99,TaleWorlds Entertainment,48700,2010
19.99,TaleWorlds Entertainment,48700,2010
4.99,ZoopTEK,39900,2010
4.99,Beatnik Games,49900,2010
4.99,Beatnik Games,49900,2010
9.99,Fatshark,42120,2010
19.99,Rockstar North / Toronto,12220,2010
4.99,Other Ocean Interactive,45730,2010
4.99,Other Ocean Interactive,45730,2010
0.99,Nemesys Games,45400,2010
9.99,Cold Beam Games,49600,2010
9.99,Cold Beam Games,49600,2010
9.99,Cold Beam Games,49600,2010
19.99,Telltale Games,901399,2010
9.99,Realmforge Studios,43500,2010
9.99,Realmforge Studios,43500,2010
4.99,Gaijin Entertainment,45302,2010
4.99,The Odd Gentlemen,40930,2010
4.99,The Odd Gentlemen,40930,2010
4.99,THQ Nordic,39640,2003
4.99,THQ Nordic,39630,2001
1.99,Red Chain Games Ltd.,23150,2010
1.99,Red Chain Games Ltd.,23150,2010
9.99,Big Fish Games,50940,2006
9.99,Big Fish Games,50920,2008
9.99,Big Fish Games,50920,2008
2.99,"The Creative Assembly,Feral Interactive (Mac)",34178,2010
6.99,Sarbakan,37340,2008
6.99,PlayFirst,37390,2009
6.99,Absolutist Ltd.,37310,2009
6.99,PlayFirst,37360,2007
6.99,PlayFirst,49000,2009
6.99,PlayFirst,37330,2010
6.99,PlayFirst,37320,2008
6.99,PlayFirst,37370,2007
6.99,PlayFirst,37380,2009
9.99,G5 Entertainment,19080,2010
9.99,G5 Entertainment,19080,2010
9.99,G5 Entertainment,19080,2010
14.99,Climax Studios,19030,2010
14.99,Climax Studios,19030,2010
4.99,Muse Games,49800,2010
4.99,Muse Games,49800,2010
4.99,Ideas Pad,33650,2010
19.99,Ubisoft,901478,2010
19.99,Ubisoft,901478,2010
4.99,Kokakiki,33660,2010
4.99,Kokakiki,33660,2010
2.99,SEGA,34281,2010
2.99,SEGA,34272,2010
61.99,D3T Limited,34270,2010
61.99,D3T Limited,34270,2010
61.99,D3T Limited,34270,2010
61.99,D3T Limited,34270,2010
2.99,SEGA,34276,2010
2.99,SEGA,34274,2010
2.99,SEGA,34275,2010
2.99,SEGA,34277,2010
2.99,SEGA,34273,2010
2.99,SEGA,34280,2010
2.99,SEGA,34282,2010
2.99,SEGA,34279,2010
14.99,Obsidian Entertainment,34010,2010
14.99,Obsidian Entertainment,34010,2010
9.99,Team17 Software Ltd.,22610,2010
4.99,Bethesda Game Studios,22440,2010
0.99,Hidden Path Entertainment,18508,2010
0.99,Hidden Path Entertainment,18508,2010
4.99,Bethesda Game Studios,22430,2010
4.99,Bethesda Game Studios,22410,2010
4.99,Bethesda Game Studios,22420,2010
0.0,Valve,630,2010
4.99,Bethesda Game Studios,22400,2010
19.99,"EA - Maxis,Aspyr (Mac)",24780,2003
19.99,"EA - Maxis,Aspyr (Mac)",24780,2003
14.99,"Akella,.dat",33670,2010
14.99,"Akella,.dat",33670,2010
4.99,"Arcen Games, LLC",40420,2010
4.99,"Arcen Games, LLC",40420,2010
9.99,Invent4 Entertainment,34920,2010
9.99,Invent4 Entertainment,34920,2010
9.99,Invent4 Entertainment,34920,2010
3.99,Blue Byte,48136,2010
9.99,Dagger Games,46720,2008
9.99,IO Interactive,28000,2010
9.99,Rune Forge,39680,2010
9.99,Rune Forge,39680,2010
0.99,Paradox Interactive,25962,2010
19.99,N3V Games,24634,2010
4.99,Ino-Co,63900,2010
29.99,"2K Czech,Feral Interactive (Mac)",50130,2011
4.99,Dovetail Games,24075,2010
9.99,Infinite Interactive,47540,2010
9.99,Infinite Interactive,47540,2010
9.99,doublesix,50510,2010
1.99,Playbrains,25760,2010
1.99,Playbrains,25763,2010
1.99,Playbrains,25762,2010
2.99,Playbrains,25764,2010
9.99,Paradox Development Studio,42980,2010
19.99,VStep,48800,2010
19.99,Team17 Digital Ltd,22600,2010
14.99,Muzzy Lane Software,46770,2010
14.99,Muzzy Lane Software,46770,2010
14.99,Muzzy Lane Software,46770,2010
8.99,Bohemia Interactive,65700,2010
8.99,Bohemia Interactive,65700,2010
8.99,Bohemia Interactive,65700,2010
19.99,Paradox Development Studio,42960,2010
1.99,Playbrains,25761,2010
5.99,IO Interactive,28010,2010
1.99,IO Interactive,28012,2010
19.99,N3V Games,24640,2010
2.99,IO Interactive,28011,2010
4.99,GSC Game World,4850,2002
5.99,Revolution Software Ltd,57640,2010
4.99,Zoë Mode,62100,2010
9.99,"2K Czech,Feral Interactive (Mac)",50145,2010
1.99,City Interactive,34841,2010
4.99,Terry Cavanagh,70300,2010
4.99,Terry Cavanagh,70300,2010
3.99,Blue Byte,48137,2010
19.99,Frictional Games,57300,2010
19.99,Frictional Games,57300,2010
19.99,Frictional Games,57300,2010
19.99,EasyGameStation,70400,2010
19.99,EasyGameStation,70400,2010
3.99,Dedication Games,46600,2010
3.99,Dedication Games,46600,2010
3.99,Dedication Games,46600,2010
2.99,SEGA,34314,2010
2.99,SEGA,34314,2010
2.99,SEGA,34310,2010
4.99,exosyphen studios,70100,2010
4.99,exosyphen studios,70110,2010
4.99,exosyphen studios,70110,2010
9.99,Subsoap,38600,2010
9.99,Subsoap,38600,2010
14.99,Gaming Minds Studios,57620,2010
2.99,SEGA,34284,2010
14.99,Katauri Interactive,63910,2010
14.99,Katauri Interactive,63910,2010
4.99,Dovetail Games,24082,2010
29.99,"Firaxis Games,Aspyr (Mac, Linux)",8930,2010
4.99,Nitro Games,49310,2010
9.99,Croteam,41060,2002
9.99,Croteam,41060,2002
9.99,Blind Mind Studios,70900,2010
9.99,Blind Mind Studios,70900,2010
2.99,Krome Studios,9940,2010
2.99,Krome Studios,9940,2010
9.99,Team17 Digital Ltd,22650,2010
19.99,Vigil Games,50620,2010
19.99,Vigil Games,50620,2010
4.99,Egosoft,2840,1999
4.99,Egosoft,2840,1999
9.99,NeoCoreGames,42920,2010
19.99,ArenaNet®,29700,2007
19.99,ArenaNet®,29700,2007
19.99,ArenaNet®,29700,2007
4.99,Egosoft,2850,2000
4.99,Egosoft,2850,2000
9.99,Triumph Studios,61510,2010
9.99,Triumph Studios,61510,2010
7.99,I Sioux Game Productions B.V.,70200,2010
7.99,I Sioux Game Productions B.V.,70200,2010
7.99,I Sioux Game Productions B.V.,70200,2010
14.99,I Sioux Game Productions B.V.,70210,2010
14.99,I Sioux Game Productions B.V.,70210,2010
14.99,I Sioux Game Productions B.V.,70210,2010
14.99,I Sioux Game Productions B.V.,70210,2010
9.99,Triumph Studios,61520,2010
9.99,Triumph Studios,61520,2010
5.99,Triumph Studios,61500,2010
5.99,Triumph Studios,61500,2010
19.99,Electronic Arts,47790,2010
9.99,"Headup Games,Silent Dreams",46450,2010
9.99,"Headup Games,Silent Dreams",46450,2010
9.99,"Headup Games,Silent Dreams",46450,2010
19.99,"CAPCOM CO., LTD.",45750,2010
19.99,"CAPCOM CO., LTD.",45750,2010
4.99,Stickmen Studios,57800,2010
4.99,Stickmen Studios,57800,2010
4.99,Stickmen Studios,57800,2010
9.99,Obsidian Entertainment,22380,2010
9.99,Obsidian Entertainment,22380,2010
6.99,Dmytry Lavrov,67000,2010
6.99,Dmytry Lavrov,67000,2010
6.99,Dmytry Lavrov,67000,2010
4.99,Ivy Games,80300,2010
4.99,Ivy Games,80300,2010
9.99,Noumenon Games,50000,2010
9.99,Noumenon Games,50000,2010
4.99,"Firaxis Games,Aspyr (Mac, Linux)",16868,2010
14.99,Hothead Games,18040,2010
14.99,Hothead Games,18040,2010
14.99,Hothead Games,18040,2010
2.99,SEGA,71115,2010
2.99,SEGA,71115,2010
